"_id","activity","bpu","population","rating","response","username"
"ObjectId(""5a36da2083bd51ae36a08256"")","3","eug6","5","2","1","peterwashington"
"ObjectId(""5a36da8a83bd51ae36a08257"")","4","eug8","3","2","2","peterwashington"
"ObjectId(""5a36dae083bd51ae36a08258"")","3","eug10","3","2","2","peterwashington"
"ObjectId(""5a36db3383bd51ae36a08259"")","5","eug16","2","3","5","peterwashington"
"ObjectId(""5a38221983bd51ae36a08268"")","5","eug6","4","3","3","ingmar"
"ObjectId(""5a3822b883bd51ae36a08269"")","4","eug8","5","3","2","ingmar"
"ObjectId(""5a38234983bd51ae36a0826a"")","3","eug16","2","3","4","ingmar"
"ObjectId(""5a382bce83bd51ae36a0826c"")","5","eug6","4","3","3","casey"
"ObjectId(""5a382c4683bd51ae36a0826d"")","5","eug8","5","2","2","casey"
"ObjectId(""5a382cd983bd51ae36a0826e"")","3","eug6","4","2","2","shirishgoyal"
"ObjectId(""5a382d6e83bd51ae36a0826f"")","4","eug8","5","3","3","shirishgoyal"
"ObjectId(""5a382dc983bd51ae36a08270"")","3","eug10","2","2","2","shirishgoyal"
"ObjectId(""5a382e3c83bd51ae36a08271"")","3","eug16","2","2","2","shirishgoyal"
"ObjectId(""5a382fc283bd51ae36a08272"")","4","eug6","4","2","2","shirishgoyal"
"ObjectId(""5a38305883bd51ae36a08273"")","4","eug8","5","2","2","shirishgoyal"
"ObjectId(""5a38315d83bd51ae36a08275"")","4","eug6","4","3","3","casey"
"ObjectId(""5a3831ba83bd51ae36a08276"")","4","eug8","4","3","3","casey"
"ObjectId(""5a3831e483bd51ae36a08277"")","4","eug10","2","3","3","shirishgoyal"
"ObjectId(""5a38324883bd51ae36a08278"")","4","eug16","2","3","4","shirishgoyal"
"ObjectId(""5a38348983bd51ae36a08279"")","3","eug10","3","2","2","casey"
"ObjectId(""5a3834d783bd51ae36a0827a"")","4","eug16","1","2","4","casey"
"ObjectId(""5a384f7f83bd51ae36a0827c"")","4","eug6","4","2","2","shirishgoyal"
"ObjectId(""5a384fdd83bd51ae36a0827d"")","4","eug8","4","2","2","shirishgoyal"
"ObjectId(""5a38504183bd51ae36a0827e"")","3","eug10","2","2","2","shirishgoyal"
"ObjectId(""5a3850aa83bd51ae36a0827f"")","3","eug16","2","3","4","shirishgoyal"
"ObjectId(""5a39684583bd51ae36a0828a"")","4","eug6","4","2","2","shirishgoyal"
"ObjectId(""5a3968b683bd51ae36a0828b"")","3","eug8","4","2","2","shirishgoyal"
"ObjectId(""5a39690783bd51ae36a0828c"")","3","eug10","3","2","2","shirishgoyal"
"ObjectId(""5a39697683bd51ae36a0828d"")","4","eug16","2","3","5","shirishgoyal"
"ObjectId(""5a396edc83bd51ae36a08290"")","3","eug6","5","3","2","peterwashington"
"ObjectId(""5a396f4783bd51ae36a08291"")","2","eug8","5","3","3","peterwashington"
"ObjectId(""5a396f9983bd51ae36a08292"")","2","eug10","3","2","2","peterwashington"
"ObjectId(""5a396fe783bd51ae36a08293"")","4","eug16","2","3","3","peterwashington"
"ObjectId(""5a3979ac83bd51ae36a08295"")","4","eug6","4","3","3","shirishgoyal"
"ObjectId(""5a397a0a83bd51ae36a08296"")","4","eug8","5","2","2","shirishgoyal"
"ObjectId(""5a397a8583bd51ae36a08297"")","3","eug10","2","2","2","shirishgoyal"
"ObjectId(""5a397adf83bd51ae36a08298"")","3","eug16","3","3","4","shirishgoyal"
"ObjectId(""5a39844e83bd51ae36a08299"")","4","eug6","4","3","3","shirishgoyal"
"ObjectId(""5a3984c683bd51ae36a0829a"")","5","eug8","4","3","3","shirishgoyal"
"ObjectId(""5a39852083bd51ae36a0829b"")","4","eug10","3","4","4","shirishgoyal"
"ObjectId(""5a39857f83bd51ae36a0829c"")","4","eug16","3","4","5","shirishgoyal"
"ObjectId(""5a3ad2a583bd51ae36a082be"")","3","eug6","3","2","2","shirishgoyal"
"ObjectId(""5a3ad30783bd51ae36a082bf"")","4","eug8","4","3","3","shirishgoyal"
"ObjectId(""5a3ad35e83bd51ae36a082c0"")","5","eug10","2","2","2","shirishgoyal"
"ObjectId(""5a3ad3c083bd51ae36a082c1"")","5","eug16","3","4","5","shirishgoyal"
"ObjectId(""5a3af42b83bd51ae36a082c3"")","4","eug6","4","4","4","peterwashington"
"ObjectId(""5a3af4af83bd51ae36a082c4"")","3","eug8","4","3","3","peterwashington"
"ObjectId(""5a3af5cc83bd51ae36a082c5"")","3","eug10","2","3","3","peterwashington"
"ObjectId(""5a3af64b83bd51ae36a082c6"")","4","eug16","4","4","4","peterwashington"
"ObjectId(""5a3b0e0b83bd51ae36a082c9"")","5","eug6","5","4","3","ingmar"
"ObjectId(""5a3b0e8683bd51ae36a082ca"")","4","eug8","5","2","1","ingmar"
"ObjectId(""5a3b0f1d83bd51ae36a082cb"")","1","eug10","1","1","1","ingmar"
"ObjectId(""5a3b0fbf83bd51ae36a082cc"")","5","eug16","4","4","5","ingmar"
"ObjectId(""5a3b5c8083bd51ae36a082d0"")","4","eug6","4","3","3","peterwashington"
"ObjectId(""5a3b5cd283bd51ae36a082d1"")","3","eug8","4","3","2","peterwashington"
"ObjectId(""5a3b5d1d83bd51ae36a082d2"")","1","eug10","1","1","1","peterwashington"
"ObjectId(""5a3b5d6983bd51ae36a082d3"")","5","eug16","4","5","5","peterwashington"
"ObjectId(""5a3bde8883bd51ae36a082d9"")","4","eug6","5","3","3","peterwashington"
"ObjectId(""5a3bdf0f83bd51ae36a082da"")","2","eug8","4","2","2","peterwashington"
"ObjectId(""5a3bdf5c83bd51ae36a082db"")","2","eug10","1","2","3","peterwashington"
"ObjectId(""5a3bdfa983bd51ae36a082dc"")","4","eug16","4","4","5","peterwashington"
"ObjectId(""5a3c245583bd51ae36a082e3"")","4","eug6","5","5","5","peterwashington"
"ObjectId(""5a3c24a583bd51ae36a082e4"")","3","eug8","5","3","3","peterwashington"
"ObjectId(""5a3c24f583bd51ae36a082e5"")","3","eug10","1","2","2","peterwashington"
"ObjectId(""5a3c253e83bd51ae36a082e6"")","5","eug16","5","5","5","peterwashington"
"ObjectId(""5a3c334083bd51ae36a082e8"")","5","eug6","5","4","4","shirishgoyal"
"ObjectId(""5a3c457783bd51ae36a082e9"")","4","eug6","4","3","3","peterwashington"
"ObjectId(""5a3c45c483bd51ae36a082ea"")","3","eug8","4","4","4","peterwashington"
"ObjectId(""5a3c460d83bd51ae36a082eb"")","5","eug8","4","3","3","shirishgoyal"
"ObjectId(""5a3c462d83bd51ae36a082ec"")","2","eug10","1","2","3","peterwashington"
"ObjectId(""5a3c467c83bd51ae36a082ed"")","5","eug16","5","5","5","peterwashington"
"ObjectId(""5a3c467e83bd51ae36a082ee"")","3","eug10","2","2","2","shirishgoyal"
"ObjectId(""5a3c46cf83bd51ae36a082ef"")","5","eug16","5","5","5","shirishgoyal"
"ObjectId(""5a3d318a83bd51ae36a082f9"")","3","eug6","4","3","3","peterwashington"
"ObjectId(""5a3d31d783bd51ae36a082fa"")","2","eug8","4","2","2","peterwashington"
"ObjectId(""5a3d322a83bd51ae36a082fb"")","4","eug10","3","4","4","peterwashington"
"ObjectId(""5a3d327983bd51ae36a082fc"")","5","eug16","5","5","5","peterwashington"
"ObjectId(""5a3d9d8683bd51ae36a08300"")","2","eug6","5","3","2","peterwashington"
"ObjectId(""5a3e78c883bd51ae36a08309"")","2","eug6","5","1","1","peterwashington"
"ObjectId(""5a3e795083bd51ae36a0830a"")","1","eug8","4","1","1","peterwashington"
"ObjectId(""5a3e799f83bd51ae36a0830b"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a3e79ec83bd51ae36a0830c"")","4","eug16","5","4","4","peterwashington"
"ObjectId(""5a42d83783bd51ae36a08338"")","3","eug6","5","3","2","peterwashington"
"ObjectId(""5a42d88e83bd51ae36a08339"")","2","eug8","4","2","2","peterwashington"
"ObjectId(""5a42d8dd83bd51ae36a0833a"")","2","eug10","2","2","3","peterwashington"
"ObjectId(""5a42d93583bd51ae36a0833b"")","4","eug16","3","4","4","peterwashington"
"ObjectId(""5a42ec1e83bd51ae36a0833d"")","3","eug6","4","3","2","peterwashington"
"ObjectId(""5a42ed8583bd51ae36a0833e"")","2","eug8","4","2","2","peterwashington"
"ObjectId(""5a42edd683bd51ae36a0833f"")","2","eug10","2","2","3","peterwashington"
"ObjectId(""5a42ee2983bd51ae36a08340"")","5","eug16","5","5","4","peterwashington"
"ObjectId(""5a43da8c83bd51ae36a0834a"")","3","eug6","5","3","3","peterwashington"
"ObjectId(""5a43dada83bd51ae36a0834b"")","3","eug8","4","3","3","peterwashington"
"ObjectId(""5a43db2b83bd51ae36a0834c"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a43db7983bd51ae36a0834d"")","4","eug16","5","5","5","peterwashington"
"ObjectId(""5a442fdd83bd51ae36a08351"")","2","eug6","4","2","2","peterwashington"
"ObjectId(""5a44304183bd51ae36a08352"")","3","eug8","4","2","2","peterwashington"
"ObjectId(""5a44309283bd51ae36a08353"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a4430e183bd51ae36a08354"")","4","eug16","5","4","4","peterwashington"
"ObjectId(""5a4447e983bd51ae36a08356"")","3","eug6","3","3","3","peterwashington"
"ObjectId(""5a4448a583bd51ae36a08357"")","2","eug8","4","3","3","peterwashington"
"ObjectId(""5a4448fa83bd51ae36a08358"")","3","eug10","2","2","2","peterwashington"
"ObjectId(""5a44496683bd51ae36a08359"")","4","eug16","4","4","5","peterwashington"
"ObjectId(""5a46b09583bd51ae36a08376"")","3","eug6","4","3","2","peterwashington"
"ObjectId(""5a46b10583bd51ae36a08377"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a46b15e83bd51ae36a08378"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a46b1d483bd51ae36a08379"")","5","eug16","4","5","5","peterwashington"
"ObjectId(""5a4ab8f283bd51ae36a0839f"")","2","eug6","4","2","2","peterwashington"
"ObjectId(""5a4ab95383bd51ae36a083a0"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a4ab9be83bd51ae36a083a1"")","2","eug10","2","2","2","peterwashington"
"ObjectId(""5a4aba1483bd51ae36a083a2"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4b0c5883bd51ae36a083a6"")","2","eug6","3","1","1","peterwashington"
"ObjectId(""5a4b0cab83bd51ae36a083a7"")","2","eug8","2","2","2","peterwashington"
"ObjectId(""5a4b0cfa83bd51ae36a083a8"")","2","eug10","1","2","2","peterwashington"
"ObjectId(""5a4b0d4d83bd51ae36a083a9"")","4","eug16","4","4","4","peterwashington"
"ObjectId(""5a4bda8a83bd51ae36a083b1"")","1","eug6","5","1","1","peterwashington"
"ObjectId(""5a4be4f283bd51ae36a083b2"")","1","eug8","4","1","1","peterwashington"
"ObjectId(""5a4be54483bd51ae36a083b3"")","3","eug10","1","3","3","peterwashington"
"ObjectId(""5a4be59383bd51ae36a083b4"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4c31ba83bd51ae36a083b8"")","1","eug6","4","1","1","peterwashington"
"ObjectId(""5a4c320783bd51ae36a083b9"")","2","eug8","3","2","2","peterwashington"
"ObjectId(""5a4c325583bd51ae36a083ba"")","2","eug10","2","2","3","peterwashington"
"ObjectId(""5a4cee3183bd51ae36a083c3"")","2","eug6","5","2","2","ingmar"
"ObjectId(""5a4ceeb583bd51ae36a083c4"")","4","eug8","3","2","2","ingmar"
"ObjectId(""5a4cef7b83bd51ae36a083c5"")","4","eug10","3","3","4","ingmar"
"ObjectId(""5a4cf03583bd51ae36a083c6"")","5","eug16","5","5","4","ingmar"
"ObjectId(""5a4d49e883bd51ae36a083cf"")","2","eug6","4","2","1","peterwashington"
"ObjectId(""5a4d4a3a83bd51ae36a083d0"")","3","eug8","3","3","2","peterwashington"
"ObjectId(""5a4d4aaf83bd51ae36a083d1"")","3","eug10","1","2","2","peterwashington"
"ObjectId(""5a4d4afc83bd51ae36a083d2"")","4","eug16","5","4","4","peterwashington"
"ObjectId(""5a4d8c2a83bd51ae36a083d5"")","2","eug6","4","2","2","peterwashington"
"ObjectId(""5a4d8c8083bd51ae36a083d7"")","1","eug8","3","2","2","peterwashington"
"ObjectId(""5a4d8cce83bd51ae36a083d8"")","3","eug10","2","3","3","peterwashington"
"ObjectId(""5a4d8d1f83bd51ae36a083d9"")","4","eug16","4","4","4","peterwashington"
"ObjectId(""5a4e680b83bd51ae36a083e1"")","4","eug6","5","4","3","shirishgoyal"
"ObjectId(""5a4e686083bd51ae36a083e2"")","3","eug8","2","2","2","shirishgoyal"
"ObjectId(""5a4e69fa83bd51ae36a083e3"")","3","eug6","4","2","2","peterwashington"
"ObjectId(""5a4e6a4983bd51ae36a083e4"")","3","eug8","3","3","4","peterwashington"
"ObjectId(""5a4e6a9a83bd51ae36a083e5"")","3","eug10","2","2","3","peterwashington"
"ObjectId(""5a4e6afb83bd51ae36a083e6"")","3","eug16","4","4","4","peterwashington"
"ObjectId(""5a4e6e1c83bd51ae36a083e8"")","4","eug10","4","3","3","shirishgoyal"
"ObjectId(""5a4e6e7a83bd51ae36a083e9"")","5","eug16","3","4","5","shirishgoyal"
"ObjectId(""5a4e710983bd51ae36a083ea"")","4","eug6","5","2","2","shirishgoyal"
"ObjectId(""5a4e81f383bd51ae36a083eb"")","3","eug6","4","3","3","shirishgoyal"
"ObjectId(""5a4e824383bd51ae36a083ec"")","4","eug8","2","2","2","shirishgoyal"
"ObjectId(""5a4e829b83bd51ae36a083ed"")","3","eug10","3","2","2","shirishgoyal"
"ObjectId(""5a4e82e883bd51ae36a083ee"")","5","eug16","4","5","5","shirishgoyal"
"ObjectId(""5a4e956983bd51ae36a083f4"")","4","eug6","5","3","3","shirishgoyal"
"ObjectId(""5a4e95bf83bd51ae36a083f5"")","4","eug8","2","2","3","shirishgoyal"
"ObjectId(""5a4e960d83bd51ae36a083f6"")","3","eug10","3","2","2","shirishgoyal"
"ObjectId(""5a4e965f83bd51ae36a083f7"")","5","eug16","4","5","5","shirishgoyal"
"ObjectId(""5a4ebae983bd51ae36a083fa"")","4","eug6","5","3","2","shirishgoyal"
"ObjectId(""5a4ebb3a83bd51ae36a083fb"")","4","eug8","2","3","4","shirishgoyal"
"ObjectId(""5a4ebb8e83bd51ae36a083fc"")","4","eug10","3","4","4","shirishgoyal"
"ObjectId(""5a4ebbdc83bd51ae36a083fd"")","5","eug16","5","5","5","shirishgoyal"
"ObjectId(""5a51659d83bd51ae36a08420"")","3","eug6","4","3","3","peterwashington"
"ObjectId(""5a51661f83bd51ae36a08421"")","3","eug8","2","3","3","peterwashington"
"ObjectId(""5a51666d83bd51ae36a08422"")","4","eug10","2","3","4","peterwashington"
"ObjectId(""5a5166c283bd51ae36a08423"")","4","eug16","4","4","4","peterwashington"
